Time, z_position, z_position_rk_tendency, y_position, y_position_rk_tendency, x_position, x_position_rk_tendency, volume, qr, nr, vterm, prevp, nrevp
    0.00,      2999.8571222870,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009999779,     59950.5319098158,         1.4287771083,        -0.0000002216,      -494.6808944703
    0.10,      2999.7142169660,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009999557,     59901.1060752407,         1.4290531887,        -0.0000002215,      -494.2583383866
    0.20,      2999.5712840431,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009999336,     59851.7241281201,         1.4293292084,        -0.0000002212,      -493.8194638471
    0.30,      2999.4283235136,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009999115,     59802.3860211216,         1.4296052738,        -0.0000002209,      -493.3810626328
    0.40,      2999.2853353729,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009998895,     59753.0917069878,         1.4298813849,        -0.0000002206,      -492.9431339930
    0.50,      2999.1423196166,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009998675,     59703.8411385360,         1.4301575417,        -0.0000002202,      -492.5056771787
    0.60,      2998.9992762401,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009998455,     59654.6342686585,         1.4304337442,        -0.0000002199,      -492.0686914430
    0.70,      2998.8562052387,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009998235,     59605.4710503219,         1.4307099925,        -0.0000002196,      -491.6321760406
    0.80,      2998.7131066079,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009998016,     59556.3514365671,         1.4309862866,        -0.0000002193,      -491.1961302283
    0.90,      2998.5699803431,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009997797,     59507.2753805094,         1.4312626264,        -0.0000002190,      -490.7605532644
